ID,緯度,経度,ジャンル1,サブジャンル1,ジャンル2,サブジャンル2,ジャンル3,サブジャンル2,名称,設置場所,郵便番号,住所,電話番号,Fax番号,Ｅ-mail,会館時間,休館日,料金,備考,リンク
5001,36.520168,136.567419,学校,小学校,,,,,松任小学校,職員玄関,,白山市末広一丁目100,076-276-1261,,,,,,,
5002,36.524234,136.579126,学校,小学校,,,,,東明小学校,体育館入口,,白山市徳丸町207,076-276-6151,,,,,,,
5003,36.531353,136.572463,学校,小学校,,,,,北陽小学校,体育館入口,,白山市新田町246,076-276-1265,,,,,,,
5004,36.545389,136.564938,学校,小学校,,,,,旭丘小学校,児童玄関,,白山市宮永町1446-1,076-276-6225,,,,,,,
5005,36.529452,136.55017,学校,小学校,,,,,蕪城小学校,職員室,,白山市北安田町355,076-276-1263,,,,,,,
5006,36.524497,136.541724,学校,小学校,,,,,千代野小学校,体育館玄関,,白山市千代野東四丁目１,076-276-6855,,,,,,,
5007,36.483522,136.528757,学校,小学校,,,,,石川小学校,職員室前,,白山市源兵島町344,076-277-0454,,,,,,,
5008,36.507851,136.529798,学校,小学校,,,,,松陽小学校,職員玄関,,白山市笠間町1150-1,076-276-1266,,,,,,,
5009,36.491277,136.56952,学校,小学校,,,,,松南小学校,サブ玄関,,白山市菅波町1171-1,076-276-1264,,,,,,,
5010,36.490859,136.484624,学校,小学校,,,,,美川小学校,体育館玄関,,白山市美川和波町ワ229,076-278-2063,,,,,,,
5011,36.474199,136.477684,学校,小学校,,,,,湊小学校,職員玄関,,白山市湊町カ307,076-278-2244,,,,,,,
5012,36.491585,136.502542,学校,小学校,,,,,蝶屋小学校,体育館玄関,,白山市井関町ヌ15,076-278-2243,,,,,,,
5013,36.445196,136.635947,学校,小学校,,,,,朝日小学校,職員室,,白山市鶴来日吉町ロ111,076-272-1611,,,,,,,
5014,36.477243,136.605875,学校,小学校,,,,,明光小学校,職員室前,,白山市井口町は1-4,076-272-1118,,,,,,,
5015,36.487072,136.602483,学校,小学校,,,,,広陽小学校,職員室前,,白山市知気寺町と77-2,076-273-4131,,,,,,,
5016,36.371285,136.604919,学校,小学校,,,,,鳥越小学校,１階相談室前,,白山市上野町オ1,076-254-2219,,,,,,,
5017,36.178033,136.625472,学校,小学校,,,,,白峰小学校,正面玄関,,白山市白峰二110,076-259-2009,,,,,,,
5018,36.517902,136.568711,学校,中学校,,,,,松任中学校,職員室前,,白山市末広二丁目１,076-276-1271,,,,,,,
5019,36.517902,136.568711,社会教育施設,体育館,,,,,松任中学校（第２体育館）,,,白山市末広二丁目１,,,,,,,,
5020,36.535948,136.542704,学校,中学校,,,,,北星中学校,保健室前,,白山市平木町112-1,076-275-4454,,,,,,,
5021,36.535948,136.542704,社会教育施設,体育館,,,,,北星中学校（第２体育館）,,,白山市平木町112-1,,,,,,,,
5022,36.535144,136.581212,学校,中学校,,,,,光野中学校,職員室,,白山市番匠町468-1,076-276-8823,,,,,,,
5023,36.535144,136.581212,社会教育施設,体育館,,,,,光野中学校（第２体育館）,,,白山市番匠町468-1,,,,,,,,
5024,36.499955,136.525073,学校,中学校,,,,,笠間中学校,職員室前,,白山市笠間町157,076-276-1273,,,,,,,
5025,36.499955,136.525073,社会教育施設,体育館,,,,,笠間中学校（第２体育館）,,,白山市笠間町157,,,,,,,,
5026,36.489304,136.492429,学校,中学校,,,,,美川中学校,職員室,,白山市美川浜町タ5,076-278-2364,,,,,,,
5027,36.454794,136.624579,学校,中学校,,,,,鶴来中学校,職員玄関,,白山市鶴来本町四丁目リ16,076-272-1616,,,,,,,
5028,36.483503,136.596506,学校,中学校,,,,,北辰中学校,職員室,,白山市日向町ロ24-2,076-273-2611,,,,,,,
5029,36.402371,136.631168,学校,小学校,,,,,河内小学校,職員室,,白山市河内町口直海イ88,076-272-2516,,,,,,,
5030,36.363942,136.608243,学校,中学校,,,,,鳥越中学校,体育館入口,,白山市釜清水町チ140,076-254-2319,,,,,,,
5031,36.296415,136.641043,学校,小・中学校,,,,,白嶺小・中学校,１階廊下,,白山市瀬戸申66,076-256-7145,,,,,,,
5100,36.524726,136.563225,社会教育施設,公民館,,,,,松任公民館,事務室,,白山市西新町170-1,076-276-1281,,,,,,,
5101,36.484155,136.527482,社会教育施設,公民館,,,,,石川公民館,１階談話室,,白山市源兵島町332-1,076-277-0455,,,,,,,
5102,36.498689,136.536589,社会教育施設,公民館,,,,,柏野公民館,体育館,,白山市下柏野町483,076-276-1282,,,,,,,
5103,36.504829,136.525526,社会教育施設,公民館,,,,,笠間公民館,事務室,,白山市笠間町623-1,076-276-1283,,,,,,,
5104,36.513609,136.534658,社会教育施設,公民館,,,,,宮保公民館,事務室,,白山市宮保町1159,076-276-1284,,,,,,,
5105,36.512744,136.559095,社会教育施設,公民館,,,,,一木公民館,事務室,,白山市村井町441,076-276-1285,,,,,,,
5106,36.522901,136.555117,社会教育施設,公民館,,,,,出城公民館,事務室,,白山市成町406,076-276-1286,,,,,,,
5107,36.538931,136.540993,社会教育施設,公民館,,,,,御手洗公民館,玄関,,白山市相川町1566-1,076-276-1287,,,,,,,
5108,36.551022,136.567666,社会教育施設,公民館,,,,,旭公民館,事務室,,白山市旭丘二丁目32,076-276-1288,,,,,,,
5109,36.542829,136.57173,社会教育施設,公民館,,,,,旭公民館　別館,事務室,,白山市宮永町297,076-274-5246,,,,,,,
5110,36.519377,136.580613,社会教育施設,公民館,,,,,中奥公民館,事務室前,,白山市中奥町144-1,076-276-1290,,,,,,,
5111,36.497899,136.575261,社会教育施設,公民館,,,,,林中公民館,事務室,,白山市乙丸町461,076-276-1291,,,,,,,
5112,36.53055,136.589062,社会教育施設,公民館,,,,,郷公民館,1階廊下,,白山市田中町230,076-276-1289,,,,,,,
5113,36.483478,136.565373,社会教育施設,公民館,,,,,山島公民館,事務室,,白山市安吉町120,076-276-7764,,,,,,,
5114,36.527488,136.537705,社会教育施設,公民館,,,,,千代野公民館,事務室,,白山市千代野西八丁目30,076-276-2204,,,,,,,
5115,36.501602,136.531473,社会教育施設,公民館,,,,,加賀野公民館,事務室前,,白山市西柏一丁目37,076-275-4160,,,,,,,
5116,36.491006,136.491946,社会教育施設,公民館,,,,,美川公民館,1階ロビー,,白山市美川浜町ヨ103,076-278-2400,,,,,,,
5117,36.489497,136.510314,社会教育施設,公民館,,,,,蝶屋公民館,事務室前,,白山市井関町113-1,076-278-8137,,,,,,,
5118,36.47816,136.476942,社会教育施設,公民館,,,,,湊公民館,玄関,,白山市湊町1号28,076-278-2002,,,,,,,
5119,36.428337,136.635001,社会教育施設,公民館,,,,,一ノ宮公民館,和室,,白山市白山町カ88-10,076-272-0037,,,,,,,
5120,36.452854,136.625511,社会教育施設,公民館,,,,,鶴来公民館,事務室,,白山市鶴来本町四丁目ヌ85,076-273-1212,,,,,,,
5121,36.464923,136.614424,社会教育施設,公民館,,,,,蔵山公民館,和室,,白山市日御子町ホ60-1,076-272-0382,,,,,,,
5122,36.482973,136.613052,社会教育施設,公民館,,,,,林公民館,事務室,,白山市道法寺町ヘ24,076-272-1746,,,,,,,
5123,36.482645,136.59377,社会教育施設,公民館,,,,,舘畑公民館,事務室,,白山市日向町イ19,076-272-1041,,,,,,,
5124,36.397941,136.620589,社会教育施設,公民館,,,,,河内公民館,事務室,,白山市河内町福岡77,076-272-1133,,,,,,,
5125,36.323731,136.646772,社会教育施設,公民館,,,,,吉野谷公民館,事務室,,白山市佐良ニ136,076-255-5146,,,,,,,
5126,36.358503,136.604508,社会教育施設,公民館,,,,,鳥越公民館,事務室,,白山市別宮町ロ170,076-254-2059,,,,,,,
5127,36.292054,136.646359,社会教育施設,公民館,,,,,尾口公民館,事務室,,白山市瀬戸午10,076-256-7052,,,,,,,
5128,36.176291,136.624322,社会教育施設,公民館,,,,,白峰公民館,事務室,,白山市白峰ハ157-1,076-259-2901,,,,,,,
5200,36.514402,136.572599,公共施設,保育所,,,,,子育て支援センター,乳児保育所職員室,,白山市倉光八丁目16-3,076-274-1592,,,,,,,
5201,36.524184,136.573799,公共施設,保育所,,,,,わかみや保育所,職員室,,白山市八ツ矢町500-1,076-276-5118,,,,,,,
5202,36.52218,136.537771,公共施設,保育所,,,,,千代野保育所,職員室,,白山市千代野西2丁目13,076-275-7262,,,,,,,
5203,36.479029,136.477167,公共施設,保育所,,,,,湊保育園,職員室,,白山市湊町1-41-1,076-278-2290,,,,,,,
5204,36.481965,136.610763,公共施設,保育所,,,,,双葉保育所,職員室,,白山市道法寺町ト73,076-272-2178,,,,,,,
5205,36.353095,136.625653,公共施設,保育所,,,,,吉野保育所,職員室,,白山市吉野東56,076-255-5200,,,,,,,
5206,36.519143,136.561897,公共施設,幼稚園,,,,,松任幼稚園,事務室,,白山市茶屋二丁目41,076-276-3712,,,,,,,
5207,36.53303,136.564591,公共施設,児童館,,,,,あいのき児童センター,玄関ホール,,白山市相木町777-1,076-276-6629,,,,,,,
5208,36.472346,136.57798,公共施設,児童館,,,,,山島台児童センター,玄関,,白山市漆島町281,076-275-0083,,,,,,,
5209,36.475386,136.477894,公共施設,児童館,,,,,湊児童館,玄関,,白山市湊町カ63,076-278-4981,,,,,,,
5210,36.454769,136.62014,公共施設,児童館,,,,,鶴来南児童館,玄関,,白山市鶴来大国町ロ125-2,076-273-5055,,,,,,,
5211,36.39846,136.621333,公共施設,児童館,,,,,かわち児童館,河内児童館渡り廊下,,白山市河内町福岡88,076-272-4730,,,,,,,
5212,36.519885,136.56845,,放課後児童クラブ,,,,,松任トマト・ポテトクラブ,玄関,,白山市末広一丁目102,076-275-9633,,,,,,,
5213,36.523196,136.579701,,放課後児童クラブ,,,,,東明ひまわりクラブ,事務室,,白山市徳丸町291-1,076-276-6449,,,,,,,
5214,36.484335,136.528524,,放課後児童クラブ,,,,,石川つくしんぼクラブ,階段下１階部屋,,白山市源兵島町289-1,076-277-3765,,,,,,,
5215,36.507651,136.530078,,放課後児童クラブ,,,,,松陽コスモス学童クラブ,玄関,,白山市宮保新町105,076-277-6772,,,,,,,
5216,36.545389,136.564938,,放課後児童クラブ,,,,,旭かもめキッズ,玄関,,白山市宮永町1446-7,076-277-6665,,,,,,,
5217,36.529836,136.551639,,放課後児童クラブ,,,,,蕪城あさがお・おひさまクラブ,蕪城あさがおクラブ玄関,,白山市北安田町372-1,076-274-2339,,,,,,,
5218,36.524497,136.541724,,放課後児童クラブ,,,,,千代野ありんこ学童クラブ,玄関,,白山市千代野東四丁目１,076-276-7099,,,,,,,
5219,36.524497,136.541724,,放課後児童クラブ,,,,,ジョイ・スカイキッズちよの,事務所,,白山市千代野東四丁目１,076-276-5188,,,,,,,
5220,36.490281,136.485349,,放課後児童クラブ,,,,,美川児童ふれあいくらぶ,１階カウンターキッチン横,,白山市美川和波町北2-1,076-214-6061,,,,,,,
5221,36.473222,136.476484,,放課後児童クラブ,,,,,湊児童ふれあいくらぶ,事務所,,白山市湊町カ8-1,076-209-5415,,,,,,,
5222,36.445196,136.635947,,放課後児童クラブ,,,,,朝日ししくクラブ,玄関,,白山市鶴来日吉町ロ111,076-272-3992,,,,,,,
5223,36.477243,136.605875,,放課後児童クラブ,,,,,ピノキオクラブ・ピノキオクラブ第２,１階廊下,,白山市井口町は1-4,076-273-1470,,,,,,,
5224,36.487072,136.602483,,放課後児童クラブ,,,,,あおぞらクラブ・第２あおぞらクラブ,事務所,,白山市知気寺町と77-2,076-273-5722,,,,,,,
5225,36.471499,136.579089,,放課後児童クラブ,,,,,山島台メルヘン児童クラブ,職員玄関,,白山市山島台三丁目105,076-274-5237,,,,,,,
5226,36.491926,136.50191,,放課後児童クラブ,,,,,蝶屋児童館,事務室,,白山市井関町ヌ15-2,076-278-3222,,,,,,,
5227,36.550786,136.567899,,認定こども園,,,,,あさひこども園,,,白山市旭丘二丁目33,076-276-1107,,,,,,,
5300,36.513516,136.563042,スポーツ施設,体育館,,,,,松任総合運動公園体育館,受付窓口,,白山市倉光四丁目22,076-276-4844,,,,,,,
5301,36.521835,136.575596,スポーツ施設,体育館,,,,,若宮公園体育館,受付窓口,,白山市徳丸町491,076-276-2415,,,,,,,
5302,36.488951,136.491527,スポーツ施設,体育館,,,,,美川スポーツセンター,受付窓口,,白山市美川浜町タ6,076-278-6090,,,,,,,
5303,36.537272,136.531666,スポーツ施設,プール,,,,,松任海浜公園室内プール,受付窓口,,白山市徳光町3206-1,076-274-0453,,,,,,,
5304,36.48277,136.5982,スポーツ施設,プール,,,,,クレインプール,プール入口,,白山市七原町77-4,076-273-8811,,,,,,,
5305,36.454769,136.62014,スポーツ施設,体育館,,,,,白山郷公園体育館,受付窓口,,白山市鶴来大国町ロ125-2,076-273-3500,,,,,,,
5306,36.268295,136.71502,スポーツ施設,スキー場,,,,,白山一里野温泉スキー場,センターハウスあいあーる,,白山市尾添リ63,076-256-7412,,,,,,,
5307,36.347314,136.678929,スポーツ施設,スキー場,,,,,白山セイモアスキー場,インフォメーションセンター,,白山市河内町内尾,076-273-0331,,,,,,,
5308,36.513516,136.563042,スポーツ施設,体育館,,,,,松任総合運動公園体育館,事務所,,白山市倉光四丁目22,076-276-4844,,,,,,,
5309,36.513516,136.563042,スポーツ施設,陸上競技場,,,,,松任総合運動公園内陸上競技場,受付窓口,,白山市倉光四丁目22,076-274-3338,,,,,,,
5310,36.513516,136.563042,スポーツ施設,陸上競技場,,,,,松任総合運動公園内屋内運動場,受付窓口,,白山市倉光四丁目22,076-276-0939,,,,,,,
5311,36.474983,136.479084,スポーツ施設,体育館,,,,,湊リフレッシュセンター,受付窓口,,白山市湊町ヲ20,076-278-4333,,,,,,,
5312,36.444601,136.632634,スポーツ施設,体育館,,,,,舟岡山体育館,管理人室,,白山市八幡町戌18,076-272-2344,,,,,,,
5313,36.51243,136.510699,スポーツ施設,体育館,,,,,日輪体育館,事務所,,白山市松本町888-1,076-274-4036,,,,,,,
5314,36.47654,136.583535,スポーツ施設,体育館,,,,,サンスポーツランド松任テニスコート,事務所,,白山市矢頃島町786-6,076-276-0749,,,,,,,
5315,36.52275,136.542382,スポーツ施設,体育館,,,,,千代野体育館,事務所,,白山市千代野東三丁目17-2,076-274-0636,,,,,,,
5316,36.489702,136.493666,スポーツ施設,体育館,,,,,美川体育館,事務所,,白山市美川中町イ126,,,,,,,,
5317,36.494471,136.489334,スポーツ施設,体育館,,,,,美川武道館,事務所,,白山市平加町ワ6-1,,,,,,,,
5318,36.48277,136.5982,スポーツ施設,体育館,,,,,白山郷公園体育館,事務所,,白山市鶴来大国町ロ125-2,076-273-3500,,,,,,,
5319,36.354181,136.625265,スポーツ施設,体育館,,,,,白山ろく体育館,事務所,,白山市吉野ケ23,076-255-5648,,,,,,,
5320,36.513516,136.563042,スポーツ施設,プール,,,,,松任総合運動公園プール,事務所,,白山市倉光四丁目22,076-276-4844,,,,,,,
5321,36.48986,136.492772,スポーツ施設,プール,,,,,美川室内プール,事務所,,白山市美川浜町タ16,076-278-4900,,,,,,,
5400,36.536022,136.530161,温泉施設,,,,,,松任海浜温泉,受付窓口,,白山市徳光町2665-1,076-274-5520,,,,,,,
5401,36.384756,136.612837,温泉施設,,,,,,めおと温泉ラクヨウ,受付窓口,,白山市河内町江津い23-1,076-272-4126,,,,,,,
5402,36.276535,136.689628,温泉施設,,,,,,新中宮温泉センター,受付窓口,,白山市中宮カ8,076-256-7730,,,,,,,
5403,36.323975,136.64681,温泉施設,,,,,,大門温泉センター,公民館事務所,,白山市佐良ニ142,076-255-5833,,,,,,,
5404,36.371577,136.609318,温泉施設,,,,,,バードハミング鳥越,事務所,,白山市上野町ヤ74,076-254-2146,,,,,,,
5405,36.266229,136.718067,温泉施設,,,,,,白山憩いの湯天領,玄関横,,白山市尾添チ28,076-256-7846,,,,,,,
5406,36.317529,136.659848,温泉施設,,,,,,交流研修施設白山里,事務所,,白山市瀬波子51-5,076-255-5998,,,,,,,
5407,36.174403,136.626652,温泉施設,,,,,,白峰温泉総湯,受付窓口,,白山市白峰ロ9,076-259-2839,,,,,,,
5500,36.514427,136.565833,公共施設,庁舎,,,,,白山市役所本庁舎,１階総合案内,,白山市倉光二丁目1,076-276-1111,,,,,,,
5501,36.509944,136.564575,公共施設,庁舎,,,,,健康センター松任,２階事務室,,白山市倉光三丁目100,076-274-2155,,,,,,,
5502,36.525212,136.5671,公共施設,,,,,,市民工房うるわし,１階ロビー,,白山市殿町301,076-274-2511,,,,,,,
5503,36.519335,136.564536,公共施設,,,,,,こがね荘,１階受付,,白山市博労二丁目50,076-276-3998,,,,,,,
5504,36.452854,136.625511,公共施設,庁舎,,,,,鶴来支所,公民館事務室,,白山市鶴来本町四丁目ヌ85,076-272-1111,,,,,,,
5505,36.469116,136.473712,公共施設,庁舎,,,,,湊健康増進センター,事務室,,白山市湊町カ377-1,076-278-7755,,,,,,,
5506,36.45673,136.620057,公共施設,　,,,,,鶴来保健センター,事務室,,白山市月橋町697-1,076-272-3000,,,,,,,
5507,36.524381,136.565908,,,,,,,松任文化会館,事務室,,白山市古城町2,076-276-5611,,,,,,,
5508,36.483628,136.598067,文化施設,　,,,,,鶴来総合文化会館クレイン,事務室,,白山市七原町77,076-273-8700,,,,,,,
5509,36.524651,136.56718,,,,,,,松任図書館,１階カウンター,,白山市古城町305,076-274-9877,,,,,,,
